name,period,mass
HD 95872 b,4375,3.74
HD 96063 b,362.5,1.27
HD 96127 b,647.3,4
HD 96167 b,498.9,0.68
HD 96700 b,8.1245,0.028
HD 96700 c,19.88,0.01101
HD 96700 d,103.5,0.03996
HD 96992 b,514,1.14
HD 97658 b,9.4957,0.0258
HD 98219 b,436.9,1.8
HD 98649 b,6022.9725,6.79
HD 98736 b,968.8,2.33
HD 99109 b,441,0.474
HD 99283 b,310.4,0.97
HD 99492 b,17.054,0.079
HD 99706 b,868,1.39
HD 99706 c,1278,5.69
HIP 105854 b,184.2,8.2
HIP 107772 b,55.199,0.04059
HIP 107773 b,144.3,1.98
HIP 109384 b,499.48,1.56
HIP 109600 b,232.08,2.68
HIP 114933 b,1481.6,1.94
HIP 12961 b,57.435,0.35
HIP 14810 b,6.6742,3.91
HIP 14810 c,147.747,1.31
HIP 14810 d,981.8,0.59
HIP 34222 b,159.986,0.83
HIP 35173 b,41.516,0.03996
HIP 38594 b,60.722,0.02549
HIP 38594 c,3477.768,0.15228
HIP 4845 b,34.15,0.04531
HIP 48714 b,17.818,0.07205
HIP 5158 b,345.72,0.96
HIP 5158 c,9017.76,15.04
HIP 54373 b,7.76,0.02712
HIP 54373 c,15.144,0.03914
HIP 56640 b,2574.9,3.67
HIP 57274 b,8.1389,0.0365
HIP 57274 c,32.03,0.40902
HIP 57274 d,431.7,0.5267
HIP 5763 b,30.014,0.51
HIP 63242 b,124.6,9.18
HIP 65407 b,28.125,0.428
HIP 65407 c,67.3,0.784
HIP 65891 b,1084.5,6
HIP 67537 b,2556.5,11.1
HIP 67851 b,89.06,1.35
HIP 67851 c,2200,6.3
HIP 70849 b,17337.5,9
HIP 71135 b,87.19,0.05915
HIP 74890 b,822.3,2.4
HIP 75092 b,926.4,1.79
HIP 79431 b,111.7,2.1
HIP 8541 b,1560.2,5.5
HIP 86221 b,2.224,0.71
HIP 90988 b,453.9,1.96
HIP 91258 b,5.0505,1.068
HIP 97166 c,16.84,0.03115
HIP 97233 b,1058.8,20
HR 5183 b,43000,3.16
HR 810 b,320.1,2.26
IC 4651 9122 b,734,6.3
iot Dra b,536,8.9
iot Dra c,25000,15.6
K2-111 c,15.6785,0.03555
K2-18 c,8.962,0.02363
kap CrB b,1300,2.1
Kapteyn c,121.54,0.022
KELT-6 c,1276,3.71
Kepler-129 d,2646,8.3
Kepler-1656 c,1919,0.4
Kepler-19 d,62.95,0.07079
Kepler-20 g,34.94,0.0628
Kepler-25 d,123,0.283
