ra,dec,z,zErr,dered_u,dered_g,dered_r,dered_i,dered_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
223.64359,2.343961,0.007115354,9.77743E-05,19.31374,17.72313,17.2828,17.26853,17.51989,0.1235103,0.01425357,0.01518794,0.06194666,0.1144802
224.00503,2.4635237,0.006971723,7.618552E-06,15.94832,14.5111,14.01583,13.73465,13.58405,0.007750347,0.002206905,0.002058337,0.002104573,0.003267904
224.0284,1.9249893,0.02222409,5.663573E-06,18.24736,17.24994,16.92837,16.76855,16.61054,0.03169599,0.006535711,0.007710339,0.01074068,0.03334439
224.11042,2.3471776,0.0218352,5.855174E-06,22.85402,21.84146,22.34996,23.24253,21.78069,0.5588133,0.09502864,0.2102353,0.6171626,0.6575945
169.62984,3.3834185,0.02011283,8.84772E-06,18.55573,17.255,16.8405,16.61014,16.42981,0.06898972,0.00818622,0.008360624,0.009732116,0.03270235
169.39313,2.7725428,0.02305975,6.127909E-06,18.62168,17.85026,17.61475,17.50668,17.41663,0.02468144,0.006747725,0.007426397,0.009320811,0.03328601
169.33103,2.881671,0.01977337,8.549235E-06,17.57249,16.57378,16.07638,15.82247,15.62203,0.01565169,0.004113784,0.003617603,0.003958951,0.008246956
169.37328,2.504304,0.02018786,5.971301E-06,18.22115,17.22178,16.93573,16.79186,16.66525,0.03975044,0.007601195,0.008292139,0.01099467,0.04495296
169.85925,3.2016116,0.02359558,1.089956E-05,16.97854,15.43412,14.75134,14.40383,14.1269,0.01242669,0.002796677,0.002475176,0.002594153,0.004365425
169.817,3.5618056,0.0238843,1.877345E-05,17.48536,16.21409,15.74738,15.50463,15.34156,0.02516953,0.004372231,0.004143151,0.004857127,0.01311816
169.88834,3.0148086,0.00412806,7.338505E-06,19.8819,19.05878,18.78871,18.61547,18.60153,0.06421211,0.0153249,0.01574256,0.02087788,0.06693769
169.67311,2.6221215,0.02296965,4.950165E-06,18.34558,17.50525,17.2955,17.19772,17.07086,0.02706091,0.006359411,0.007184185,0.009236922,0.0331694
177.41374,3.2217356,0.019884,4.521415E-06,17.99663,17.14385,16.79933,16.66239,16.52506,0.02150574,0.006720931,0.006305058,0.01544017,0.04832076
177.34706,2.6925483,0.02018799,1.879586E-05,19.04707,17.90405,17.51408,17.32702,17.26676,0.06089822,0.01386196,0.01233529,0.01670866,0.04129098
185.14162,2.9677407,0.007963072,5.085426E-05,19.16319,17.90002,17.41252,17.49734,19.18125,0.1458384,0.02280381,0.0231836,0.03737047,0.6522841
185.16801,2.7582417,0.02124574,4.644605E-06,17.80633,16.93066,16.68833,16.55574,16.47553,0.020978,0.005103387,0.005540431,0.006791149,0.02400174
